State,# of Insurers,Avg Premium Written,Avg Premium Earned,Avg Loss Incurred,Avg Expenses,Avg DCC Ratio,Risk Tier,Loading Factor
NY,126,"1,668,632,840","1,660,874,518","978,857,117","366,436,341",80.62%,Tier 3 - High,1.25x
CA,123,"838,916,559","825,787,774","357,000,944","200,386,475",66.44%,Tier 2 - Moderate,1.00x
PA,144,"737,269,289","723,726,008","410,299,117","165,109,927",78.05%,Tier 3 - High,1.25x
FL,124,"694,973,853","678,815,437","341,672,227","122,242,728",66.75%,Tier 2 - Moderate,1.00x
IL,123,"528,840,455","529,983,558","241,941,731","120,211,074",68.48%,Tier 2 - Moderate,1.00x
NJ,117,"470,904,372","466,229,489","232,051,412","84,667,134",67.26%,Tier 2 - Moderate,1.00x
TX,122,"381,210,526","372,873,785","109,017,940","59,878,826",44.31%,Tier 1 - Low,0.80x
MA,92,"333,474,359","333,722,387","144,601,508","59,096,227",61.08%,Tier 2 - Moderate,1.00x
GA,113,"315,221,615","308,624,995","191,546,705","61,102,213",80.15%,Tier 3 - High,1.25x
MD,105,"299,049,944","296,911,128","152,191,067","53,422,161",68.76%,Tier 2 - Moderate,1.00x
OH,115,"276,793,653","278,976,744","56,272,557","38,948,276",34.40%,Tier 1 - Low,0.80x
TN,105,"241,178,063","240,002,914","108,309,959","62,918,229",71.00%,Tier 2 - Moderate,1.00x
AZ,107,"228,620,862","229,391,800","84,235,499","38,396,339",53.64%,Tier 2 - Moderate,1.00x
MI,109,"211,016,947","209,096,532","85,412,701","43,227,553",60.96%,Tier 2 - Moderate,1.00x
VA,104,"209,251,004","208,168,774","70,979,713","37,912,842",52.04%,Tier 2 - Moderate,1.00x
CT,95,"197,915,650","200,069,813","143,022,508","30,887,944",87.87%,Tier 3 - High,1.25x
NC,103,"195,960,401","195,596,660","47,382,606","35,752,159",42.42%,Tier 1 - Low,0.80x
WA,102,"195,291,056","192,341,444","104,077,869","35,962,449",71.71%,Tier 2 - Moderate,1.00x
MO,108,"171,384,488","170,178,455","75,632,498","25,431,505",58.97%,Tier 2 - Moderate,1.00x
CO,97,"165,309,715","164,670,870","58,418,417","28,654,127",52.67%,Tier 2 - Moderate,1.00x
AL,92,"140,114,833","138,678,392","48,046,031","36,287,134",60.19%,Tier 2 - Moderate,1.00x
IN,107,"135,830,324","133,576,609","42,910,223","31,587,026",54.85%,Tier 2 - Moderate,1.00x
KY,99,"124,982,334","124,972,114","64,076,903","31,897,433",76.79%,Tier 3 - High,1.25x
OK,94,"109,597,941","107,608,064","48,054,404","23,788,500",65.55%,Tier 2 - Moderate,1.00x
LA,82,"104,039,664","103,344,931","18,439,249","23,826,963",40.63%,Tier 1 - Low,0.80x
OR,93,"99,392,415","99,100,059","56,980,202","19,978,631",77.43%,Tier 3 - High,1.25x
MN,85,"88,862,745","87,397,085","41,220,769","11,956,876",59.84%,Tier 2 - Moderate,1.00x
WI,82,"85,515,786","85,093,473","14,417,164","12,737,124",31.75%,Tier 1 - Low,0.80x
NV,90,"83,525,352","82,211,757","26,688,026","22,108,438",58.42%,Tier 2 - Moderate,1.00x
KS,86,"76,001,315","74,833,103","28,563,183","17,244,123",60.27%,Tier 2 - Moderate,1.00x
SC,94,"75,593,514","74,282,833","44,763,198","17,804,064",82.77%,Tier 3 - High,1.25x
IA,88,"73,681,720","73,140,105","35,979,654","13,518,310",67.18%,Tier 2 - Moderate,1.00x
WV,79,"72,898,819","72,361,553","35,268,753","13,786,871",67.29%,Tier 2 - Moderate,1.00x
PR,17,"71,666,356","70,813,954","25,358,044","13,988,044",54.90%,Tier 2 - Moderate,1.00x
AR,85,"70,484,162","70,261,295","32,210,646","14,301,551",65.99%,Tier 2 - Moderate,1.00x
UT,83,"66,851,979","65,754,672","26,471,500","17,412,297",65.64%,Tier 2 - Moderate,1.00x
NM,83,"60,507,393","59,620,214","54,338,103","22,782,064",127.46%,Tier 4 - Very High,1.50x
MS,81,"53,439,406","53,137,492","14,495,014","8,157,943",42.39%,Tier 1 - Low,0.80x
ME,66,"48,814,889","48,090,941","22,571,585","4,906,280",56.29%,Tier 2 - Moderate,1.00x
NH,77,"48,039,029","47,245,826","27,949,196","8,399,624",75.67%,Tier 3 - High,1.25x
MT,75,"41,565,696","41,224,581","21,774,260","9,810,984",75.99%,Tier 3 - High,1.25x
NE,74,"41,522,449","39,694,210","17,332,448","10,155,714",66.20%,Tier 2 - Moderate,1.00x
RI,65,"36,543,568","36,364,919","28,634,381","6,783,001",96.92%,Tier 3 - High,1.25x
DE,79,"36,310,390","36,117,308","21,135,790","7,633,988",79.23%,Tier 3 - High,1.25x
ID,84,"35,100,625","34,970,827","16,155,251","6,870,707",65.60%,Tier 2 - Moderate,1.00x
HI,68,"32,069,081","31,565,299","15,571,418","5,267,647",64.98%,Tier 2 - Moderate,1.00x
DC,70,"30,813,359","31,492,221","9,144,010","3,707,631",41.71%,Tier 1 - Low,0.80x
AK,63,"23,873,851","23,648,320","7,837,621","4,459,576",51.51%,Tier 2 - Moderate,1.00x
WY,67,"23,004,531","22,854,870","8,714,798","4,828,073",58.87%,Tier 2 - Moderate,1.00x
VT,61,"19,063,218","19,052,410","9,308,213","2,216,695",60.46%,Tier 2 - Moderate,1.00x
SD,58,"17,846,178","17,764,572","6,580,471","3,845,184",58.42%,Tier 2 - Moderate,1.00x
ND,54,"11,574,331","11,396,741","2,375,330","1,558,177",33.98%,Tier 1 - Low,0.80x
GU,6,"1,063,491","938,224","87,384","39,665",11.95%,Tier 1 - Low,0.80x
VI,10,"403,273","382,270","83,497","77,869",40.01%,Tier 1 - Low,0.80x
MEAN,88,"192,626,105","190,833,969","90,119,645","38,969,791",62.31%,Tier 2 - Moderate,1.00x
MEDIAN,89,"87,189,266","86,245,279","42,065,496","21,043,535",63.03%,Tier 2 - Moderate,1.00x
